id	filename	md5	size	state
0a030ab2-7c05-45ae-a534-a128bb6221d5	b2d78d63-db6d-42d2-bcbe-2938cf7fbf18.FPKM-UQ.txt.gz	f5acbaf8253236c3d80e9051b13af6f0	536972	live
0a332862-a8a6-4946-902c-7026cb7c5b35	c7cfe287-8ef6-4d9a-ab05-8a976c55c8e3.htseq.counts.gz	103907e67a47ebb5254571bee13c894c	256879	live
0a352d40-6fc9-4fee-b46a-ab8dc14bc2d4	75140780-afad-4633-b7b8-f289abdedcf9.FPKM-UQ.txt.gz	506ad7302c9bf32d206615ae100fb4a5	520614	live
0a410deb-614a-4876-b343-e6b9921fc350	bf5578a1-08e6-43ee-89c9-d00a7be4de41.htseq.counts.gz	6635cd176f4c61e604bcc4ce1f52abd4	254987	live
0a544783-cfc1-42eb-bf7c-b0640bdf3bf0	070af2c9-b54f-41e2-a48d-a7e3bfaa9025.FPKM.txt.gz	932019a79a267159b7f7e9bd5c456447	490228	live
0a8a9ffb-7448-499f-a1c5-078d7ed84e77	8c7a9e45-89aa-4a18-addb-dd1887ec7e15.FPKM-UQ.txt.gz	47ed3fb5450bc587cf74bbe976cfd190	525154	live
0b260f88-9222-4295-bf28-1f06cef3e040	b7174918-6cea-417e-8a86-f3a61ad81153.FPKM.txt.gz	3ac8bad1a641650c4b4d71fee5bf5483	531699	live
0b958dd2-407e-45ce-a62b-33cf663aa53e	ef945dd7-57f3-4b23-9261-8ed49f0be376.htseq.counts.gz	57b6a26dfce46059fabb8ca9e963e33e	257132	live
0bd7e37d-f065-4523-b36e-6651cf83973a	762d4b1e-808c-4f32-bc14-f7c33c6666f0.FPKM.txt.gz	e55584d5962a4a3be26146596249d07d	497125	live
0bdafc35-9d3d-494b-a08a-d642a8f64edf	f433e0b0-5a59-48ce-bad0-89490083168b.FPKM.txt.gz	d3c66240f4a4be623fdd9961e01acfb6	505495	live
0c82917e-28e7-4f09-8796-09a219535b0e	453b4e68-042b-41cb-97ec-6ea445d6df1d.FPKM.txt.gz	152c1b2653877b5890ab82fd27d80a46	480285	live
0c9537e9-3f1d-4e2c-9a2b-2d99458064bc	8913e499-5b3b-41a5-9873-c7ed88e131d9.FPKM.txt.gz	49a6a3e18b0f72cd5bce18c90291e92e	515878	live
0ca1300d-360e-428b-8b24-4d1284930bfe	9feb9cef-8d78-43c5-8760-2641bb539b48.htseq.counts.gz	57808892db5ad0e6b01e95bf03932f26	252049	live
0cccae2a-b82b-47e2-9846-8bc68b1fef94	059dddc4-ed29-4cbb-9a80-550894c21db4.htseq.counts.gz	03d55ee911c3a0cef5527790049329e5	251869	live
