id	filename	md5	size	state
034bb093-d0ac-40e0-807b-b8a6374d777e	6a058f09-eac6-40d3-a24f-da1cb0371a2b.FPKM-UQ.txt.gz	4c6fb8102dd54e86d1a0e06e5a9c2651	562191	live
03681aee-cdf6-4534-b61d-f8780603d040	e7f07f98-8dbf-4884-8d45-318671c15c98.FPKM.txt.gz	c03695a199fb6aadf56785b2289694bb	533726	live
03c91401-0a8d-4bd5-b67e-e976c909d0be	46649617-64ad-4fdb-9266-150e2fc6a54d.FPKM.txt.gz	7e9b7589dc219a25348f183d8277f251	525428	live
03d18e3c-0a38-482a-8ae0-5fa6906cb6f5	0048d446-301b-4d04-97d2-1348b6889692.htseq.counts.gz	158bbac7dc2235e4b0e784c72c5e8b27	258646	live
03d6f833-1354-4d77-941a-969afa2eae87	10a93ff8-e2cd-4f1d-acb8-ae4ccd5fecdb.FPKM.txt.gz	c5598ca8cda08b62b510b9f54792ac6a	500554	live
03fa41cb-b8b9-47ab-88d6-25852567da7b	476de4e4-7dfd-41a8-a3c5-3ae05987093e.htseq.counts.gz	4ee85f358d8f53b40e3cb48d922e9a99	249920	live
040b0c23-c706-41f1-8fa8-195509486588	2e5095b6-5f89-4b79-abfa-0afe326801ef.htseq.counts.gz	631d3adacc2d9fdc8f54f6baf9237d32	250936	live
04860165-81aa-4dd4-82bf-92b806af51bf	631a4c93-c41d-4ca3-84c7-6f6ad226397a.FPKM.txt.gz	93d226c32248aede802df21658168086	519371	live
04899fbf-dd44-4b6b-9dc9-1ab4e0c1837b	55cca3e8-899a-4fba-941a-8789f5d1d206.FPKM-UQ.txt.gz	a30c668700ec133c7bf4dda21be6f9fc	562044	live
04b16721-d9e2-48b1-8949-f30f43ca8e31	ec240723-a6d1-484c-9103-92a709dd86f1.FPKM.txt.gz	b27d20c7e995e7be3bd4c50e3dc935a3	511520	live
04c05883-ab95-42da-81c5-2704afa89771	345cff8d-f361-4f8e-8221-9e310ffb1956.FPKM.txt.gz	7bbee4bc37e3bdbe787a74db6b122de3	584866	live
